facility,year,quarter,art_current,art_new
rajik,2016,4,1067,46
rajik,2017,1,1056,39
rajik,2017,2,1118,47
rajik,2017,3,1134,38
rajik,2017,4,1155,31
rajik,2018,1,1170,49
rajik,2018,2,1207,56
rajik,2018,3,1235,66
rajik,2018,4,1230,43
rajik,2019,1,1283,62
rajik,2019,2,1400,45
rajik,2019,3,1285,55
rajik,2019,4,1265,31
rajik,2020,2,1276,30
rajik,2020,1,1353,45
tudum,2015,1,1157,44
tudum,2015,2,1162,45
tudum,2015,3,1190,30
tudum,2015,4,1253,46
tudum,2016,1,1258,49
tudum,2016,2,1280,39
tudum,2016,3,1314,65
tudum,2016,4,1363,59
tudum,2017,1,1368,51
tudum,2017,2,1409,74
tudum,2017,3,1424,66
tudum,2017,4,1442,46
tudum,2018,1,1485,68
tudum,2018,2,1473,56
tudum,2018,3,1429,33
tudum,2018,4,1452,53
tudum,2019,1,1450,38
tudum,2019,2,1412,44
tudum,2019,3,1288,35
tudum,2019,4,1288,22
tudum,2020,2,1276,23
tudum,2020,1,1284,30
gupor,2015,1,1068,28
gupor,2015,2,1101,43
gupor,2015,3,1158,44
gupor,2015,4,1156,56
gupor,2016,1,1142,50
gupor,2016,2,1160,49
gupor,2016,3,1185,44
gupor,2016,4,1186,42
gupor,2017,1,1194,48
gupor,2017,2,1249,58
gupor,2017,3,1242,58
gupor,2017,4,1260,62
gupor,2018,1,1280,64
gupor,2018,2,1305,54
gupor,2018,3,1282,46
gupor,2018,4,1317,46
gupor,2019,1,1361,55
gupor,2019,2,1353,53
gupor,2019,3,1382,51
gupor,2019,4,1387,49
gupor,2020,2,1374,28
gupor,2020,1,1396,49
dojuk,2015,1,1939,80
dojuk,2015,2,2028,90
dojuk,2015,3,2099,124
dojuk,2015,4,2264,105
dojuk,2016,1,2155,117
dojuk,2016,2,2260,111
dojuk,2016,3,2334,147
dojuk,2016,4,2344,108
dojuk,2017,1,2345,86
dojuk,2017,2,2371,95
dojuk,2017,3,2401,121
dojuk,2017,4,2412,92
dojuk,2018,1,2449,105
dojuk,2018,2,2491,108
dojuk,2018,3,2475,119
dojuk,2018,4,2519,98
dojuk,2019,1,2558,104
dojuk,2019,2,2571,126
dojuk,2019,3,2503,71
dojuk,2019,4,2544,82
dojuk,2020,2,2553,62
dojuk,2020,1,2550,67
migaj,2015,1,1276,42
migaj,2015,2,1302,46
migaj,2015,3,1303,43
migaj,2015,4,1303,34
migaj,2016,1,1314,42
migaj,2016,2,1328,30
migaj,2016,3,1352,57
migaj,2016,4,1368,48
migaj,2017,1,1369,39
migaj,2017,2,1375,49
migaj,2017,3,1383,53
migaj,2017,4,1403,37
migaj,2018,1,1411,47
migaj,2018,2,1407,31
migaj,2018,3,1386,44
migaj,2018,4,1449,40
migaj,2019,1,1427,30
migaj,2019,2,1446,45
migaj,2019,3,1445,47
migaj,2019,4,1445,22
migaj,2020,2,1535,24
migaj,2020,1,1536,42
kobok,2015,1,1306,110
kobok,2015,2,1308,105
kobok,2015,3,1391,88
kobok,2015,4,1419,82
kobok,2016,1,1504,106
kobok,2016,2,1431,99
kobok,2016,3,1608,137
kobok,2016,4,1620,95
kobok,2017,1,1699,125
kobok,2017,2,1843,112
kobok,2017,3,1838,124
kobok,2017,4,1783,134
kobok,2018,1,1879,157
kobok,2018,2,1955,142
kobok,2018,3,1988,130
kobok,2018,4,2044,125
kobok,2019,1,2080,114
kobok,2019,2,2130,115
kobok,2019,3,2139,107
kobok,2019,4,2149,97
kobok,2020,2,2239,95
kobok,2020,1,2208,137
hoson,2015,1,1324,51
hoson,2015,2,1331,40
hoson,2015,3,1352,50
hoson,2015,4,1370,43
hoson,2016,1,1405,53
hoson,2016,2,1430,49
hoson,2016,3,1507,94
hoson,2016,4,1522,45
hoson,2017,1,1549,68
hoson,2017,2,1550,42
hoson,2017,3,1568,56
hoson,2017,4,1527,57
hoson,2018,1,1548,62
hoson,2018,2,1580,61
hoson,2018,3,1586,60
hoson,2018,4,1594,50
hoson,2019,1,1596,44
hoson,2019,2,1590,37
hoson,2019,3,1582,40
hoson,2019,4,1597,54
hoson,2020,2,1616,29
hoson,2020,1,1614,51
jihil,2015,1,457,13
jihil,2015,2,466,10
jihil,2015,3,475,16
jihil,2015,4,493,23
jihil,2016,1,478,17
jihil,2016,2,500,22
jihil,2016,3,529,38
jihil,2016,4,546,30
jihil,2017,1,544,17
jihil,2017,2,540,15
jihil,2017,3,546,23
jihil,2017,4,554,22
jihil,2018,1,548,13
jihil,2018,2,551,25
jihil,2018,3,560,20
jihil,2018,4,550,7
jihil,2019,1,550,10
jihil,2019,2,559,17
jihil,2019,3,564,12
jihil,2019,4,571,18
jihil,2020,1,562,17
jihil,2020,2,554,5
hamat,2015,1,461,29
hamat,2015,2,472,34
hamat,2015,3,497,36
hamat,2015,4,508,35
hamat,2016,1,581,46
hamat,2016,2,591,80
hamat,2016,3,656,108
hamat,2016,4,566,74
hamat,2017,1,707,93
hamat,2017,2,737,90
hamat,2017,3,769,77
hamat,2017,4,805,77
hamat,2018,1,863,92
hamat,2018,2,881,70
hamat,2018,3,890,76
hamat,2018,4,933,90
hamat,2019,1,960,79
hamat,2019,2,979,64
hamat,2019,3,1021,94
hamat,2019,4,1046,81
hamat,2020,2,1053,47
hamat,2020,1,1070,95
sibos,2015,1,1797,139
sibos,2015,2,1896,155
sibos,2015,3,1895,95
sibos,2015,4,1991,147
sibos,2016,1,2069,191
sibos,2016,2,2154,163
sibos,2016,3,2252,211
sibos,2016,4,2264,179
sibos,2017,1,2276,206
sibos,2017,2,2383,166
sibos,2017,3,2356,156
sibos,2017,4,2505,166
sibos,2018,1,2374,136
sibos,2018,2,2435,127
sibos,2018,3,2449,158
sibos,2018,4,2431,155
sibos,2019,1,2454,170
sibos,2019,2,2460,146
sibos,2019,3,2477,122
sibos,2019,4,2457,118
sibos,2020,2,2492,69
sibos,2020,1,2509,120
vabij,2015,1,2298,212
vabij,2015,2,2391,231
vabij,2015,3,2488,259
vabij,2015,4,2558,242
vabij,2016,1,2700,295
vabij,2016,2,2793,245
vabij,2016,3,2985,372
vabij,2016,4,3105,339
vabij,2017,1,3348,429
vabij,2017,2,3493,375
vabij,2017,3,3604,380
vabij,2017,4,3743,337
vabij,2018,1,3792,410
vabij,2018,2,3931,377
vabij,2018,3,4031,357
vabij,2018,4,4047,341
vabij,2019,1,4074,362
vabij,2019,2,4252,369
vabij,2019,3,4230,355
vabij,2019,4,4235,329
vabij,2020,1,4363,380
vabij,2020,2,4367,269
tiroj,2015,1,710,24
tiroj,2015,2,744,27
tiroj,2015,3,767,34
tiroj,2015,4,779,28
tiroj,2016,1,816,61
tiroj,2016,2,875,55
tiroj,2016,3,886,63
tiroj,2016,4,900,46
tiroj,2017,1,886,46
tiroj,2017,2,933,41
tiroj,2017,3,941,47
tiroj,2017,4,945,43
tiroj,2018,1,1009,59
tiroj,2018,2,1019,52
tiroj,2018,3,1015,52
tiroj,2018,4,1013,43
tiroj,2019,1,1031,47
tiroj,2019,2,1043,40
tiroj,2019,3,1076,52
tiroj,2019,4,1070,34
tiroj,2020,2,1080,41
tiroj,2020,1,1085,46
jijuf,2015,1,901,36
jijuf,2015,2,909,39
jijuf,2015,3,911,37
jijuf,2015,4,938,38
jijuf,2016,1,974,57
jijuf,2016,2,1000,24
jijuf,2016,3,1012,36
jijuf,2016,4,997,29
jijuf,2017,1,1003,21
jijuf,2017,2,1011,38
jijuf,2017,3,1048,24
jijuf,2017,4,1037,19
jijuf,2018,1,1041,18
jijuf,2018,2,1047,27
jijuf,2018,3,1039,14
jijuf,2018,4,1034,17
jijuf,2019,1,1066,22
jijuf,2019,2,1058,23
jijuf,2019,3,1023,31
jijuf,2019,4,1033,17
jijuf,2020,2,1037,11
jijuf,2020,1,1042,19
vidol,2015,1,894,64
vidol,2015,2,902,33
vidol,2015,3,933,45
vidol,2015,4,969,60
vidol,2016,1,985,55
vidol,2016,2,1008,51
vidol,2016,3,1043,64
vidol,2016,4,1057,43
vidol,2017,1,1110,49
vidol,2017,2,1116,31
vidol,2017,3,1148,59
vidol,2017,4,1169,34
vidol,2018,1,1174,36
vidol,2018,2,1186,26
vidol,2018,3,1207,35
vidol,2018,4,1230,40
vidol,2019,1,1254,27
vidol,2019,2,1280,34
vidol,2019,3,1288,27
vidol,2019,4,1312,31
vidol,2020,2,1337,26
vidol,2020,1,1324,32
kazik,2015,1,3271,249
kazik,2015,2,3382,282
kazik,2015,3,3401,245
kazik,2015,4,3424,298
kazik,2016,1,3538,387
kazik,2016,2,3702,293
kazik,2016,3,3737,324
kazik,2016,4,4064,524
kazik,2017,1,4097,513
kazik,2017,2,4500,509
kazik,2017,3,4652,481
kazik,2017,4,4436,327
kazik,2018,1,4652,536
kazik,2018,2,4713,412
kazik,2018,3,4779,538
kazik,2018,4,5150,487
kazik,2019,1,5205,541
kazik,2019,2,5359,513
kazik,2019,3,5502,535
kazik,2019,4,5627,539
kazik,2020,2,5737,271
kazik,2020,1,5720,522
zilor,2015,1,956,25
zilor,2015,2,989,44
zilor,2015,3,1435,42
zilor,2015,4,1032,41
zilor,2016,1,566,23
zilor,2016,2,1084,45
zilor,2016,3,1101,34
zilor,2016,4,1142,37
zilor,2017,1,1187,62
zilor,2017,2,1234,69
zilor,2017,3,1288,60
zilor,2017,4,1337,45
zilor,2018,1,1373,53
zilor,2018,2,1409,63
zilor,2018,3,1377,39
zilor,2018,4,1445,58
zilor,2019,1,1491,54
zilor,2019,2,1528,42
zilor,2019,3,1580,58
zilor,2019,4,961,50
zilor,2020,1,1242,45
zilor,2020,2,1154,37
rinol,2015,1,55,4
rinol,2015,2,62,9
rinol,2015,3,70,9
rinol,2015,4,65,4
rinol,2016,1,69,4
rinol,2016,2,73,4
rinol,2016,3,81,13
rinol,2016,4,88,4
rinol,2017,1,90,6
rinol,2017,2,93,6
rinol,2017,3,89,0
rinol,2017,4,91,2
rinol,2018,1,93,2
rinol,2018,2,92,1
rinol,2018,3,97,5
rinol,2018,4,97,2
rinol,2019,1,97,1
rinol,2019,2,93,6
rinol,2019,3,96,3
rinol,2019,4,100,1
rinol,2020,1,98,1
rinol,2020,2,100,1
jatap,2015,1,1143,51
jatap,2015,2,1131,42
jatap,2015,3,1179,45
jatap,2015,4,1175,42
jatap,2016,1,1167,48
jatap,2016,2,1146,42
jatap,2016,3,1147,40
jatap,2016,4,1157,43
jatap,2017,1,1188,46
jatap,2017,2,1222,56
jatap,2017,3,1206,47
jatap,2017,4,1215,37
jatap,2018,1,1211,47
jatap,2018,2,1230,41
jatap,2018,3,1234,31
jatap,2018,4,1228,33
jatap,2019,1,1248,35
jatap,2019,2,1228,40
jatap,2019,3,1245,35
jatap,2019,4,1250,33
jatap,2020,2,1239,21
jatap,2020,1,1235,32
gazog,2015,1,85,2
gazog,2015,2,88,3
gazog,2015,3,87,1
gazog,2015,4,89,3
gazog,2016,1,80,4
gazog,2016,2,95,2
gazog,2016,3,95,4
gazog,2016,4,74,1
gazog,2017,1,100,6
gazog,2017,2,109,0
gazog,2017,3,110,0
gazog,2017,4,66,1
gazog,2018,1,80,3
gazog,2018,2,100,1
gazog,2018,3,108,3
gazog,2018,4,93,4
gazog,2019,1,107,3
gazog,2019,2,112,2
gazog,2019,3,110,4
gazog,2019,4,105,1
gazog,2020,2,96,3
gazog,2020,1,69,2
dusol,2015,1,352,15
dusol,2015,2,349,21
dusol,2015,3,351,7
dusol,2015,4,340,6
dusol,2016,1,349,8
dusol,2016,2,350,12
dusol,2016,3,368,20
dusol,2016,4,383,16
dusol,2017,1,390,13
dusol,2017,2,395,11
dusol,2017,3,391,8
dusol,2017,4,404,21
dusol,2018,1,396,7
dusol,2018,2,364,4
dusol,2018,3,391,10
dusol,2018,4,388,12
dusol,2019,1,376,7
dusol,2019,2,388,13
dusol,2019,3,383,8
dusol,2019,4,400,12
dusol,2020,1,393,10
dusol,2020,2,400,11
fifoz,2015,1,82,8
fifoz,2015,2,88,5
fifoz,2015,3,88,7
fifoz,2015,4,83,6
fifoz,2016,1,110,4
fifoz,2016,2,81,3
fifoz,2016,3,NA,5
fifoz,2016,4,117,14
fifoz,2017,1,110,2
fifoz,2017,2,127,9
fifoz,2017,3,107,3
fifoz,2017,4,142,6
fifoz,2018,1,103,7
fifoz,2018,2,118,9
fifoz,2018,3,125,4
fifoz,2018,4,130,0
fifoz,2019,1,140,2
